Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,bank,bank_dist_l1km,bc_w_internet,atm,internet_bb,tel_ll,tel_mob,po_sub_po,MAP_KEY
2019,HIMACHAL PRADESH ,2,UNA ,26,842,575442,295281,280161,130982,0.121140143,0.079572447,0.287410926,0.089073634,0.549881235,0.002375297,0.40023753,0.295724466,UNA
2019,PUNJAB ,3,AMRITSAR ,27,933,1438423,759828,678595,263480,0.159699893,0.026795284,0.272240086,0.135048232,0.57449089,0.003215434,0.642015005,0.229367631,AMRITSAR
2019,PUNJAB ,3,BATHINDA ,28,319,873035,458929,414106,162712,0.294670846,0.018808777,0.451410658,0.213166144,0.739811912,0.015673981,0.250783699,0.4169279,BATHINDA
2019,PUNJAB ,3,FARIDKOT ,29,264,542203,289278,252925,100776,0.272727273,0.034090909,0.227272727,0.215909091,0.409090909,0.022727273,0.378787879,0.268939394,FARIDKOT
2019,PUNJAB ,3,FATEHGARH SAHIB ,30,447,428926,227962,200964,81788,0.129753915,0.015659955,0.14541387,0.085011186,0.465324385,0.002237136,0.29082774,0.140939597,FATEHGARH SAHIB
2019,PUNJAB ,3,FIROZEPUR ,31,882,941069,498553,442516,187129,0.071428571,0.012471655,0.181405896,0.054421769,0.505668934,0.007936508,0.390022676,0.121315193,FIROZPUR
2019,PUNJAB ,3,GURDASPUR ,32,1390,1487169,779003,708166,271703,0.089208633,0.028057554,0.130935252,0.070503597,0.288489209,0.002877698,0.394964029,0.121582734,GURDASPUR
2019,PUNJAB ,3,HOSHIARPUR ,33,1570,1414669,734373,680296,288771,0.119745223,0.038853503,0.171974522,0.072611465,0.371974522,0.001910828,0.38089172,0.198089172,HOSHIARPUR
2019,PUNJAB ,3,JALANDHAR ,34,1003,1175930,608388,567542,244441,0.19441675,0.030907278,0.183449651,0.139581256,0.363908275,0.000997009,0.462612164,0.255234297,JALANDHAR
2019,PUNJAB ,3,KAPURTHALA ,35,818,583294,305144,278150,115099,0.128361858,0.018337408,0.118581907,0.084352078,0.200488998,0.001222494,0.558679707,0.097799511,KAPURTHALA
2019,PUNJAB ,3,LUDHIANA ,36,1015,1778047,940093,837954,368939,0.419704433,0.015763547,0.401970443,0.34679803,0.312315271,0.003940887,0.16453202,0.412807882,LUDHIANA
2019,PUNJAB ,3,MANSA ,37,249,619237,328785,290452,119846,0.204819277,0,0.337349398,0.152610442,0.437751004,0.032128514,0.365461847,0.329317269,MANSA
2019,PUNJAB ,3,MOGA ,38,371,803351,424174,379177,155376,0.250673854,0.045822102,0.347708895,0.191374663,0.552560647,0,0.380053908,0.393530997,MOGA
2019,PUNJAB ,3,SRI MUKTSAR SAHIB ,39,274,840643,445750,394893,148434,0.266423358,0.003649635,0.149635036,0.204379562,0.346715328,0.003649635,0.605839416,0.49270073,SRI MUKTSAR SAHIB
2019,PUNJAB ,3,Shahid Bhagat Singh Nagar ,40,520,551330,284888,266442,112575,0.234615385,0.021153846,0.313461538,0.126923077,0.675,0.007692308,0.390384615,0.326923077,SHAHID BHAGAT SINGH NAGAR
2019,PUNJAB ,3,PATIALA ,41,1125,1357112,712444,644668,254121,0.139555556,0.028444444,0.153777778,0.102222222,0.422222222,0.020444444,0.328888889,0.137777778,PATIALA
2019,PUNJAB ,3,RUPNAGAR ,42,717,645588,338024,307564,120911,0.094839609,0.015341702,0.167364017,0.051603905,0.589958159,0.006973501,0.334728033,0.138075314,RUPNAGAR
2019,PUNJAB ,3,SANGRUR ,43,592,1322606,711780,610826,244945,0.363175676,0.018581081,0.363175676,0.314189189,0.52027027,0.045608108,0.253378378,0.388513514,SANGRUR
2019,PUNJAB ,3,BARNALA ,605,205,493765,267915,225850,93876,0.292682927,0.004878049,0.331707317,0.209756098,0.492682927,0.053658537,0.224390244,0.32195122,BARNALA
2019,PUNJAB ,3,S.A.S Nagar ,608,387,490541,262307,228234,95383,0.162790698,0.031007752,0.22997416,0.144702842,0.470284238,0.005167959,0.529715762,0.11627907,SAHIBZADA AJIT SINGH NAGAR
2019,PUNJAB ,3,Tarn Taran ,609,609,1196243,634828,561415,203760,0.16091954,0.070607553,0.118226601,0.124794745,0.162561576,0.009852217,0.704433498,0.252873563,TARN TARAN
2019,PUNJAB ,3,FAZILKA ,651,479,965357,509411,455946,177863,0.175365344,0.004175365,0.183716075,0.127348643,0.655532359,0.014613779,0.110647182,0.279749478,FAZILKA
2019,PUNJAB ,3,PATHANKOT ,662,516,511241,267026,244215,106480,0.081395349,0.046511628,0.184108527,0.071705426,0.410852713,0.005813953,0.5,0.102713178,PATHANKOT
2019,UTTARAKHAND ,5,ALMORA ,45,2215,615730,296296,319434,133312,0.044243792,0.023927765,0.09255079,0.02979684,0.422121896,0.005869074,0.877200903,0.146726862,ALMORA
2019,UTTARAKHAND ,5,BAGESHWAR ,46,858,258576,125817,132759,57544,0.034965035,0.032634033,0.073426573,0.017482517,0.207459207,0.002331002,0.900932401,0.177156177,BAGESHWAR
2019,UTTARAKHAND ,5,CHAMOLI ,47,1182,352963,175216,177747,83357,0.0321489,0.016920474,0.085448393,0.017766497,0.327411168,0.001692047,0.779187817,0.233502538,CHAMOLI
2019,UTTARAKHAND ,5,CHAMPAWAT ,48,684,252702,129940,122762,53001,0.026315789,0.007309942,0.111111111,0.013157895,0.434210526,0,0.830409357,0.097953216,CHAMPAWAT
2019,UTTARAKHAND ,5,DEHRADUN ,49,646,699745,369652,330093,120265,0.083591331,0.029411765,0.091331269,0.060371517,0.351393189,0.001547988,0.73993808,0.204334365,DEHRADUN
2019,UTTARAKHAND ,5,HARIDWAR ,50,574,1593772,847423,746349,276714,0.165505226,0.034843206,0.292682927,0.12543554,0.489547038,0.00174216,0.698606272,0.160278746,HARIDWAR
2019,UTTARAKHAND ,5,NAINITAL ,51,1025,485368,248741,236627,95174,0.074146341,0.028292683,0.149268293,0.053658537,0.426341463,0.00097561,0.778536585,0.154146341,NAINITAL
2019,UTTARAKHAND ,5,PAURI GARHWAL ,52,3392,474031,224247,249784,112503,0.041568396,0.022110849,0.097582547,0.021816038,0.330483491,0.002653302,0.868808962,0.127358491,PAURI GARHWAL
2019,UTTARAKHAND ,5,PITHORAGARH ,53,1538,439021,220206,218815,102148,0.053315995,0.017555267,0.098829649,0.024057217,0.381664499,0.004551365,0.83550065,0.247724317,PITHORAGARH
2019,UTTARAKHAND ,5,RUDRA PRAYAG ,54,659,246623,118923,127700,55399,0.048558422,0.02124431,0.086494689,0.02276176,0.424886191,0.001517451,0.860394537,0.191198786,RUDRAPRAYAG
2019,UTTARAKHAND ,5,TEHRI GARHWAL ,55,1796,656992,327494,329498,132566,0.042316258,0.027282851,0.079621381,0.022271715,0.291202673,0.002783964,0.892538976,0.146993318,TEHRI GARHWAL
2019,UTTARAKHAND ,5,UDAM SINGH NAGAR ,56,613,1017222,525319,491903,200260,0.133768352,0.014681892,0.254486134,0.088091354,0.305057096,0.004893964,0.815660685,0.13050571,UDHAM SINGH NAGAR
2019,UTTARAKHAND ,5,UTTAR KASHI ,57,666,339164,173716,165448,75179,0.042042042,0.021021021,0.096096096,0.022522523,0.327327327,0.001501502,0.795795796,0.165165165,UTTARKASHI
2019,HARYANA ,6,AMBALA ,58,482,667776,351264,316512,139795,0.186721992,0.033195021,0.263485477,0.093360996,0.443983402,0.031120332,0.414937759,0.232365145,AMBALA
2019,HARYANA ,6,BHIWANI ,59,370,1376902,726005,650897,269419,0.281081081,0.013513514,0.181081081,0.1,0.518918919,0.002702703,0.52972973,0.551351351,BHIWANI
2019,HARYANA ,6,FARIDABAD ,60,154,526208,278849,247359,101512,0.376623377,0,0.292207792,0.298701299,0.435064935,0.019480519,0.662337662,0.305194805,FARIDABAD
2019,HARYANA ,6,FATEHABAD ,61,335,890926,472340,418586,172568,0.274626866,0.020895522,0.331343284,0.12238806,0.456716418,0.005970149,0.495522388,0.423880597,FATEHABAD
2019,HARYANA ,6,GURUGRAM ,62,250,610393,325722,284671,103811,0.3,0.044,0.276,0.204,0.496,0.004,0.448,0.236,GURUGRAM
2019,HARYANA ,6,HISAR ,63,317,1481535,791787,689748,294493,0.397476341,0.018927445,0.242902208,0.173501577,0.621451104,0.003154574,0.447949527,0.690851735,HISSAR
2019,HARYANA ,6,JHAJJAR ,64,277,986893,534410,452483,203415,0.328519856,0.018050542,0.490974729,0.209386282,0.693140794,0.003610108,0.675090253,0.534296029,JHAJJAR
2019,HARYANA ,6,JIND ,65,313,1219679,654611,565068,226270,0.226837061,0.012779553,0.28115016,0.10543131,0.779552716,0.003194888,0.226837061,0.447284345,JIND
2019,HARYANA ,6,KAITHAL ,66,320,1127481,603477,524004,211090,0.278125,0.009375,0.265625,0.14375,0.5125,0.003125,0.54375,0.43125,KAITHAL
2019,HARYANA ,6,KARNAL ,67,527,1526651,817219,709432,301413,0.24288425,0.037950664,0.273244782,0.174573055,0.525616698,0.0056926,0.75711575,0.299810247,KARNAL
2019,HARYANA ,6,KURUKSHETRA ,68,469,837854,440232,397622,158875,0.204690832,0.006396588,0.251599147,0.085287846,0.665245203,0.006396588,0.473347548,0.240938166,KURUKSHETRA
2019,HARYANA ,6,MAHENDRAGARH ,69,382,967378,518668,448710,191400,0.117801047,0.015706806,0.109947644,0.031413613,0.445026178,0.010471204,0.384816754,0.308900524,MAHENDRAGARH
2019,HARYANA ,6,PANCHKULA ,70,187,202378,107050,95328,36882,0.101604278,0.016042781,0.144385027,0.053475936,0.497326203,0,0.839572193,0.128342246,PANCHKULA
2019,HARYANA ,6,PANIPAT ,71,199,885802,474676,411126,160355,0.391959799,0.030150754,0.216080402,0.261306533,0.452261307,0,0.673366834,0.422110553,PANIPAT
2019,HARYANA ,6,REWARI ,72,420,874017,462836,411181,171342,0.221428571,0.030952381,0.254761905,0.071428571,0.461904762,0,0.416666667,0.335714286,REWARI
2019,HARYANA ,6,ROHTAK ,73,143,655319,353054,302265,126825,0.517482517,0.062937063,0.272727273,0.202797203,0.615384615,0.013986014,0.503496503,0.685314685,ROHTAK
2019,HARYANA ,6,SIRSA ,74,375,1156872,606212,550660,212019,0.282666667,0.010666667,0.256,0.125333333,0.6,0.032,0.389333333,0.384,SIRSA
2019,HARYANA ,6,SONIPAT ,75,357,1290707,697568,593139,237587,0.392156863,0.014005602,0.210084034,0.170868347,0.585434174,0.008403361,0.296918768,0.521008403,SONIPAT
2019,HARYANA ,6,YAMUNANAGAR ,76,662,847808,446954,400854,157872,0.145015106,0.021148036,0.117824773,0.066465257,0.219033233,0.004531722,0.690332326,0.194864048,YAMUNA NAGAR
2019,HARYANA ,6,NUH ,604,451,1622962,863890,759072,213520,0.10864745,0.00443459,0.33037694,0.026607539,0.541019956,0.002217295,0.840354767,0.110864745,NUH
2019,HARYANA ,6,PALWAL ,619,329,1174438,629401,545037,189776,0.167173252,0.018237082,0.136778116,0.097264438,0.212765957,0.003039514,0.708206687,0.203647416,PALWAL
2019,HARYANA ,6,CHARKI DADRI ,701,181,585308,318293,267015,111151,0.215469613,0.022099448,0.248618785,0.060773481,0.535911602,0.005524862,0.762430939,0.453038674,CHARKHI DADRI
2019,RAJASTHAN ,8,AJMER ,86,1146,1861453,969360,892093,391498,0.091623037,0.007853403,0.241710297,0.078534031,0.348167539,0.001745201,0.643979058,0.243455497,AJMER
2019,RAJASTHAN ,8,ALWAR ,87,2099,3523965,1873684,1650281,666130,0.107670319,0.013816103,0.178180086,0.079561696,0.360647928,0.006193425,0.646021915,0.218199142,ALWAR
2019,RAJASTHAN ,8,BANSWARA ,88,1537,1857593,950801,906792,416705,0.065712427,0.01691607,0.072218608,0.050097593,0.074170462,0.004554327,0.81977879,0.094990241,BANSWARA
2019,RAJASTHAN ,8,BARAN ,89,1238,1150688,600039,550649,234676,0.046849758,0.004038772,0.119547658,0.029886914,0.39822294,0.003231018,0.84733441,0.117932149,BARAN
2019,RAJASTHAN ,8,BARMER ,90,2699,2770010,1467713,1302297,550198,0.047424972,0.002223046,0.14486847,0.04927751,0.316413486,0.002223046,0.748425343,0.160800296,BARMER
2019,RAJASTHAN ,8,BHARATPUR ,91,1523,2306790,1232682,1074108,414950,0.074195666,0.015101773,0.210768221,0.067629678,0.384766907,0.005909389,0.772816809,0.256073539,BHARATPUR
2019,RAJASTHAN ,8,BHILWARA ,92,1916,2202636,1130568,1072068,488267,0.063674322,0.009916493,0.14091858,0.051148225,0.253131524,0.006263048,0.788100209,0.1717119,BHILWARA
2019,RAJASTHAN ,8,BIKANER ,93,948,1947648,1041017,906631,329144,0.162447257,0.003164557,0.220464135,0.092827004,0.305907173,0.002109705,0.681434599,0.235232068,BIKANER
2019,RAJASTHAN ,8,BUNDI ,94,888,1068290,552557,515733,220648,0.063063063,0.005630631,0.13963964,0.043918919,0.176801802,0.001126126,0.813063063,0.137387387,BUNDI
2019,RAJASTHAN ,8,CHITTORGARH ,95,1771,1403545,716567,686978,332530,0.051948052,0.011857708,0.151891587,0.045736872,0.356295878,0.004517222,0.751552795,0.12987013,CHITTORGARH
2019,RAJASTHAN ,8,CHURU ,96,910,1672921,875092,797829,343362,0.128571429,0.017582418,0.198901099,0.071428571,0.323076923,0.008791209,0.704395604,0.310989011,CHURU
2019,RAJASTHAN ,8,DAUSA ,97,1134,1692799,905139,787660,322144,0.072310406,0.013227513,0.128747795,0.058201058,0.287477954,0.003527337,0.772486772,0.169312169,DAUSA
2019,RAJASTHAN ,8,DHOLPUR ,98,841,1098281,598493,499788,203833,0.059453032,0.004756243,0.210463734,0.05588585,0.336504162,0.014268728,0.822829964,0.16646849,DHOLPUR
2019,RAJASTHAN ,8,DUNGARPUR ,99,1005,1508270,762398,745872,343505,0.102487562,0.013930348,0.181094527,0.065671642,0.435820896,0.002985075,0.870646766,0.223880597,DUNGARPUR
2019,RAJASTHAN ,8,GANGANAGAR ,100,3046,1619148,857678,761470,364203,0.059750492,0.02232436,0.118516087,0.043007223,0.313525936,0.003611293,0.682534471,0.098818122,GANGANAGAR
2019,RAJASTHAN ,8,HANUMANGARH ,101,1908,1703503,903468,800035,382365,0.085953878,0.03721174,0.131551363,0.05293501,0.317610063,0.007337526,0.726415094,0.131551363,HANUMANGARH
2019,RAJASTHAN ,8,JAIPUR ,102,2217,3551951,1850895,1701056,694355,0.123139378,0.00857014,0.210193956,0.098782138,0.373477673,0.00947226,0.668019847,0.221921516,JAIPUR
2019,RAJASTHAN ,8,JAISALMER ,103,810,702836,383125,319711,144177,0.065432099,0.002469136,0.080246914,0.035802469,0.228395062,0.00617284,0.675308642,0.174074074,JAISALMER
2019,RAJASTHAN ,8,JALORE ,104,830,2016554,1047914,968640,438210,0.121686747,0,0.214457831,0.068674699,0.35060241,0.003614458,0.73253012,0.321686747,JALORE
2019,RAJASTHAN ,8,JHALAWAR ,105,1617,1321499,695767,625732,307746,0.05318491,0.019171305,0.1144094,0.042671614,0.201607916,0.005565863,0.753865182,0.116264688,JHALAWAR
2019,RAJASTHAN ,8,JHUNJHUNU ,106,973,1996632,1039811,956821,433943,0.143884892,0.018499486,0.283658787,0.09352518,0.608427544,0.010277492,0.334018499,0.392600206,JHUNJHUNU
2019,RAJASTHAN ,8,JODHPUR ,107,1879,2918468,1544789,1373679,614881,0.079829697,0.004257584,0.13943587,0.063331559,0.277807344,0.005854178,0.741883981,0.219265567,JODHPUR
2019,RAJASTHAN ,8,KARAULI ,108,895,1487356,800657,686699,269440,0.079329609,0.01452514,0.138547486,0.068156425,0.189944134,0.010055866,0.793296089,0.231284916,KARAULI
2019,RAJASTHAN ,8,KOTA ,109,883,885092,463918,421174,234444,0.078142695,0.019252548,0.110985277,0.041902605,0.154020385,0.003397508,0.782559456,0.130237826,KOTA
2019,RAJASTHAN ,8,NAGAUR ,110,1656,3146279,1641189,1505090,632132,0.085748792,0.007850242,0.221618357,0.085748792,0.414855072,0.005434783,0.63647343,0.30736715,NAGAUR
2019,RAJASTHAN ,8,PALI ,111,1035,1757659,894020,863639,421003,0.1352657,0.005797101,0.215458937,0.088888889,0.435748792,0.025120773,0.502415459,0.325603865,PALI
2019,RAJASTHAN ,8,RAJSAMAND ,112,1080,1063055,538647,524408,274020,0.052777778,0.018518519,0.10462963,0.038888889,0.234259259,0.006481481,0.737037037,0.178703704,RAJSAMAND
2019,RAJASTHAN ,8,SAWAI MADHOPUR ,113,823,1344426,717563,626863,305922,0.116646416,0.037667072,0.151883354,0.095990279,0.239368165,0.008505468,0.798298906,0.215066829,SAWAI MADHOPUR
2019,RAJASTHAN ,8,SIKAR ,114,1160,2294736,1196169,1098567,437928,0.181896552,0.015517241,0.257758621,0.122413793,0.419827586,0.002586207,0.488793103,0.368103448,SIKAR
2019,RAJASTHAN ,8,SIROHI ,115,502,1015674,530862,484812,215663,0.121513944,0.009960159,0.219123506,0.049800797,0.450199203,0.005976096,0.657370518,0.284860558,SIROHI
2019,RAJASTHAN ,8,TONK ,116,1207,1363775,714862,648913,276952,0.092792046,0.005799503,0.115161558,0.082850041,0.198840099,0.004971002,0.855012428,0.169014085,TONK
2019,RAJASTHAN ,8,UDAIPUR ,117,2505,2721801,1400701,1321100,645566,0.086626747,0.011576846,0.102195609,0.057085828,0.14011976,0.01237525,0.789620758,0.207984032,UDAIPUR
2019,RAJASTHAN ,8,PRATAPGARH ,629,1011,908026,464558,443468,222750,0.050445104,0.006923838,0.115727003,0.024727992,0.214638971,0.003956479,0.836795252,0.132542038,PRATAPGARH
2019,UTTAR PRADESH ,9,AGRA ,118,943,3112265,1687094,1425171,515759,0.119830329,0.024390244,0.134676564,0.088016967,0.288441145,0.003181336,0.779427359,0.20466596,AGRA
2019,UTTAR PRADESH ,9,ALIGARH ,119,1174,2918352,1575485,1342867,501687,0.080919932,0.031516184,0.133730835,0.037478705,0.238500852,0,0.80834753,0.220613288,ALIGARH
2019,UTTAR PRADESH ,9,PRAYAGRAJ ,120,3176,5885731,3136583,2749148,990110,0.087216625,0.036209068,0.083438287,0.060138539,0.167821159,0.003463476,0.792821159,0.107997481,ALLAHABAD
2019,UTTAR PRADESH ,9,AMBEDKAR NAGAR ,121,1717,2569713,1334071,1235642,431010,0.08386721,0.027955737,0.093185789,0.043680839,0.201514269,0.002912056,0.850320326,0.158998253,AMBEDKAR NAGAR
2019,UTTAR PRADESH ,9,AURAIYA ,122,847,1378967,750737,628230,252721,0.080283353,0.011806375,0.086186541,0.035419126,0.170011806,0.002361275,0.857142857,0.127508855,AURAIYA
2019,UTTAR PRADESH ,9,AZAMGARH ,123,3907,5275105,2682306,2592799,817349,0.062196058,0.050934221,0.089070898,0.046327105,0.276938828,0.001535705,0.82697722,0.0895828,AZAMGARH
2019,UTTAR PRADESH ,9,BAGHPAT ,124,308,1090537,587558,502979,176572,0.237012987,0.029220779,0.201298701,0.159090909,0.334415584,0.00974026,0.659090909,0.350649351,BAGPAT
2019,UTTAR PRADESH ,9,BAHRAICH ,125,1398,4140313,2205701,1934612,797616,0.105150215,0.025035765,0.101573677,0.042203147,0.164520744,0.005007153,0.844778255,0.181688126,BAHRAICH
2019,UTTAR PRADESH ,9,BALLIA ,126,1842,3708176,1975559,1732617,634115,0.085233442,0.04451683,0.078175896,0.038002172,0.155808903,0.005428882,0.806188925,0.161237785,BALLIA
2019,UTTAR PRADESH ,9,BALRAMPUR ,127,1016,2373576,1246592,1126984,372136,0.114173228,0.018700787,0.095472441,0.020669291,0.161417323,0.000984252,0.848425197,0.145669291,BALRAMPUR
2019,UTTAR PRADESH ,9,BANDA ,128,682,1992877,1083739,909138,369296,0.124633431,0.007331378,0.149560117,0.023460411,0.228739003,0.001466276,0.859237537,0.23313783,BANDA
2019,UTTAR PRADESH ,9,BARABANKI ,129,1828,3366531,1800196,1566335,641821,0.084792123,0.021881838,0.160284464,0.0404814,0.259846827,0.006564551,0.830415755,0.171225383,BARABANKI
2019,UTTAR PRADESH ,9,BAREILLY ,130,1920,3794068,2034434,1759634,645432,0.072916667,0.020833333,0.107291667,0.036979167,0.251041667,0.002604167,0.835416667,0.111979167,BAREILLY
2019,UTTAR PRADESH ,9,BASTI ,131,3136,2770731,1461174,1309557,442439,0.042729592,0.025191327,0.061862245,0.023596939,0.278380102,0.004145408,0.900510204,0.074936224,BASTI
2019,UTTAR PRADESH ,9,BIJNOR ,132,2994,3539666,1884809,1654857,623921,0.060454242,0.039746159,0.155644623,0.029058116,0.306947228,0.001002004,0.628590514,0.08750835,BIJNOR
2019,UTTAR PRADESH ,9,BUDAUN ,133,1685,3237430,1768445,1468985,548471,0.046290801,0.016023739,0.10148368,0.014836795,0.174480712,0.002373887,0.766765579,0.119881306,BUDAUN
2019,UTTAR PRADESH ,9,BULANDSHAHR ,134,1256,3172160,1689115,1483045,547129,0.089171975,0.011146497,0.187101911,0.053343949,0.399681529,0.002388535,0.719745223,0.178343949,BULANDSHAHR
2019,UTTAR PRADESH ,9,CHANDAULI ,135,1640,2101637,1107087,994550,342198,0.076219512,0.040853659,0.047560976,0.05,0.108536585,0.004878049,0.729268293,0.107317073,CHANDAULI
2019,UTTAR PRADESH ,9,CHITRAKOOT ,136,565,1250597,680011,570586,220664,0.090265487,0.017699115,0.065486726,0.019469027,0.159292035,0.001769912,0.872566372,0.123893805,CHITRAKOOT
2019,UTTAR PRADESH ,9,DEORIA ,137,2156,3392780,1726087,1666693,550834,0.075139147,0.042671614,0.086270872,0.04406308,0.221243043,0.000463822,0.837662338,0.133116883,DEORIA
2019,UTTAR PRADESH ,9,ETAH ,138,883,1881175,1017004,864171,308125,0.091732729,0.01585504,0.071347678,0.030577576,0.130237826,0.001132503,0.852774632,0.178935447,ETAH
