Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,prim_school,middle_school,high_school,high_second_school,degree_clg,public_library,indoor_sports,outdoor_sports,vocational,MAP_KEY
2019,JAMMU AND KASHMIR ,1,ANANTNAG ,1,506,1106470,579200,527270,176367,0.758893281,0.81027668,0.363636364,0.126482213,0.02173913,0.007905138,0.083003953,0.146245059,0.033596838,ANANTNAG
2019,JAMMU AND KASHMIR ,1,BADGAM ,2,520,805861,420700,385161,111089,0.35,0.830769231,0.807692308,0.665384615,0.2,0.138461538,0.011538462,0.048076923,0.240384615,BADGAM
2019,JAMMU AND KASHMIR ,1,BARAMULLA ,3,628,1155256,616036,539220,174729,0.761146497,0.73566879,0.315286624,0.109872611,0.017515924,0.017515924,0.030254777,0.26910828,0.022292994,BARAMULLA
2019,JAMMU AND KASHMIR ,1,DODA ,4,454,513303,273067,240236,108537,0.775330396,0.645374449,0.310572687,0.127753304,0.011013216,0.008810573,0.026431718,0.129955947,0.008810573,DODA
2019,JAMMU AND KASHMIR ,1,JAMMU ,5,913,1013853,539429,474424,213114,0.496166484,0.338444688,0.17305586,0.055859803,0.012048193,0.003285871,0.012048193,0.048192771,0.007667032,JAMMU
2019,JAMMU AND KASHMIR ,1,KATHUA ,7,552,603501,318755,284746,118424,0.644927536,0.490942029,0.210144928,0.094202899,0.010869565,0.007246377,0.018115942,0.166666667,0.016304348,KATHUA
2019,JAMMU AND KASHMIR ,1,KUPWARA ,8,560,1034576,543566,491010,152243,0.880357143,0.785714286,0.282142857,0.094642857,0.0125,0.025,0.026785714,0.264285714,0.0125,KUPWARA
2019,JAMMU AND KASHMIR ,1,POONCH ,10,274,588723,308982,279741,122754,0.927007299,0.883211679,0.405109489,0.116788321,0.02189781,0.01459854,0.01459854,0.072992701,0.040145985,POONCH
2019,JAMMU AND KASHMIR ,1,PULWAMA ,11,350,541945,281006,260939,88566,0.762857143,0.588571429,0.294285714,0.137142857,0.028571429,0.008571429,0.02,0.405714286,0.04,PULWAMA
2019,JAMMU AND KASHMIR ,1,RAJAURI ,12,487,884300,467396,416904,182628,0.80698152,0.790554415,0.32238193,0.104722793,0.020533881,0.014373717,0.002053388,0.0862423,0.016427105,RAJOURI
2019,JAMMU AND KASHMIR ,1,SRINAGAR ,13,25,63548,33089,30459,10570,0.6,0.64,0.32,0.2,0,0.04,0.04,0.28,0,SRINAGAR
2019,JAMMU AND KASHMIR ,1,UDHAMPUR ,14,404,570762,298477,272285,106059,0.747524752,0.717821782,0.368811881,0.113861386,0.01980198,0.002475248,0.022277228,0.04950495,0.002475248,UDHAMPUR
2019,JAMMU AND KASHMIR ,1,KISHTWAR ,620,200,277968,146744,131224,66672,0.835,0.765,0.385,0.125,0.04,0.025,0.005,0.175,0.025,KISHTWAR
2019,JAMMU AND KASHMIR ,1,RAMBAN ,621,179,352482,188868,163614,69789,0.916201117,0.776536313,0.402234637,0.106145251,0.033519553,0.005586592,0.005586592,0.106145251,0.027932961,RAMBAN
2019,JAMMU AND KASHMIR ,1,KULGAM ,622,311,456491,243081,213410,78959,0.70096463,0.774919614,0.295819936,0.128617363,0.019292605,0.003215434,0.012861736,0.122186495,0.019292605,KULGAM
2019,JAMMU AND KASHMIR ,1,BANDIPORA ,623,212,577349,304352,272997,86069,0.990566038,0.933962264,0.514150943,0.08490566,0.009433962,0.009433962,0.004716981,0.896226415,0.009433962,BANDIPORA
2019,JAMMU AND KASHMIR ,1,SAMBA ,624,379,307309,160093,147216,61809,0.416886544,0.34828496,0.129287599,0.068601583,0.013192612,0.01055409,0,0.081794195,0.01055409,SAMBA
2019,JAMMU AND KASHMIR ,1,SHOPIAN ,625,227,274289,141173,133116,48530,0.810572687,0.524229075,0.189427313,0.070484581,0.013215859,0.004405286,0.030837004,0.268722467,0.004405286,SHOPIAN
2019,JAMMU AND KASHMIR ,1,GANDERBAL ,626,173,350136,184244,165892,54401,0.832369942,0.739884393,0.306358382,0.086705202,0.005780347,0.01734104,0.005780347,0.421965318,0.104046243,GANDERBAL
2019,JAMMU AND KASHMIR ,1,REASI ,627,292,504001,272475,231526,91711,0.76369863,0.712328767,0.297945205,0.106164384,0.023972603,0.017123288,0.003424658,0.095890411,0.01369863,REASI
2019,HIMACHAL PRADESH ,2,BILASPUR ,15,1025,437403,222893,214510,106861,0.514146341,0.226341463,0.16097561,0.12,0.008780488,0.011707317,0.015609756,0.074146341,0.017560976,BILASPUR
2019,HIMACHAL PRADESH ,2,CHAMBA ,16,1491,630848,318072,312776,140833,0.597585513,0.27297116,0.153588196,0.136150235,0.026156942,0.037558685,0.015425889,0.075117371,0.028169014,CHAMBA
2019,HIMACHAL PRADESH ,2,HAMIRPUR ,17,1749,560516,281453,279063,134729,0.29731275,0.169239565,0.108633505,0.077186964,0.017152659,0.022298456,0.02058319,0.09834191,0.036020583,HAMIRPUR
2019,HIMACHAL PRADESH ,2,KANGRA ,18,3692,1748514,893114,855400,424290,0.433640303,0.196912243,0.137865655,0.114301192,0.020585049,0.010292524,0.015438787,0.101300108,0.031960997,KANGRA
2019,HIMACHAL PRADESH ,2,KINNAUR ,19,610,98754,50171,48583,26092,0.247540984,0.1,0.083606557,0.07704918,0.009836066,0.008196721,0.004918033,0.090163934,0.003278689,KINNAUR
2019,HIMACHAL PRADESH ,2,KULLU ,20,452,470110,238958,231152,118012,0.723451327,0.42699115,0.298672566,0.225663717,0.022123894,0.008849558,0.015486726,0.234513274,0.03539823,KULLU
2019,HIMACHAL PRADESH ,2,LAHUL AND SPITI ,21,361,39800,19821,19979,7437,0.412742382,0.130193906,0.055401662,0.077562327,0.005540166,0.008310249,0.016620499,0.027700831,0.008310249,LAHAUL AND SPITI
2019,HIMACHAL PRADESH ,2,MANDI ,22,2851,1110906,561319,549587,299805,0.504384427,0.222378113,0.145212206,0.117151877,0.010522624,0.012977902,0.012977902,0.113644335,0.01613469,MANDI
2019,HIMACHAL PRADESH ,2,SHIMLA ,23,3075,721165,366584,354581,171528,0.429268293,0.18699187,0.117398374,0.096910569,0.010081301,0.008130081,0.008130081,0.105691057,0.020162602,SHIMLA
2019,HIMACHAL PRADESH ,2,SIRMAUR ,24,983,551996,285357,266639,118205,0.689725331,0.358087487,0.225839268,0.166836216,0.022380468,0.014242116,0.022380468,0.128179044,0.03051882,SIRMAUR
