Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,all_weather_road,cc_road_full,pub_trans_bus,pub_trans_van,pub_trans_auto,railway,csc_panchayat,csc_seperate,elec_domes_12hrs,elec_msme,pds,mandi,reg_mkt,weekly_haat,tap_100,clean_energy_hhs,solar_wind_elect,pucca_hhs,panch_bhawan,pib_av_upd,pcomm_pasture,MAP_KEY
2019,JAMMU AND KASHMIR ,1,ANANTNAG ,1,506,1106470,579200,527270,176367,0.843873518,0.031620553,0.26284585,0.581027668,0.029644269,0.043478261,0.007905138,0.096837945,0.092885375,0.083003953,0.754940711,0.02173913,0.274703557,0.009881423,0.09486166,237.2055336,0.031620553,0.874551362,0.415019763,0.191699605,0.507905138,ANANTNAG
2019,JAMMU AND KASHMIR ,1,BADGAM ,2,520,805861,420700,385161,111089,0.648076923,0.015384615,0.503846154,0.405769231,0.044230769,0.309615385,0.425,0.255769231,0.042307692,0.071153846,0.675,0.030769231,0.809615385,0.021153846,0.113461538,109.5903846,0.009615385,0.911674423,0.596153846,0.388461538,0.098076923,BADGAM
2019,JAMMU AND KASHMIR ,1,BARAMULLA ,3,628,1155256,616036,539220,174729,0.800955414,0.041401274,0.329617834,0.49522293,0.038216561,0.025477707,0.020700637,0.065286624,0.042993631,0.122611465,0.808917197,0.007961783,0.307324841,0.012738854,0.125796178,188.5366242,0.062101911,0.881502212,0.410828025,0.318471338,0.563694268,BARAMULLA
2019,JAMMU AND KASHMIR ,1,DODA ,4,454,513303,273067,240236,108537,0.22246696,0.022026432,0.182819383,0.504405286,0.044052863,0,0.015418502,0.050660793,0.118942731,0.101321586,0.583700441,0.017621145,0.085903084,0.035242291,0.055066079,102.5242291,0.077092511,0.583644287,0.348017621,0.341409692,0.259911894,DODA
2019,JAMMU AND KASHMIR ,1,JAMMU ,5,913,1013853,539429,474424,213114,0.788608981,0.073384447,0.561883899,0.021905805,0.233296824,0.010952903,0.016429354,0.021905805,0.444687842,0.150054765,0.577217963,0.015334064,0.121577218,0.006571742,0.08543264,154.5553122,0.003285871,0.917823325,0.270536692,0.08652793,0.108433735,JAMMU
2019,JAMMU AND KASHMIR ,1,KATHUA ,7,552,603501,318755,284746,118424,0.666666667,0.065217391,0.342391304,0.052536232,0.304347826,0.027173913,0.018115942,0.06884058,0.295289855,0.311594203,0.557971014,0.001811594,0.132246377,0.003623188,0.085144928,126.951087,0.007246377,0.781969871,0.427536232,0.038043478,0.375,KATHUA
2019,JAMMU AND KASHMIR ,1,KUPWARA ,8,560,1034576,543566,491010,152243,0.785714286,0.041071429,0.241071429,0.6,0.021428571,0.003571429,0.026785714,0.066071429,0.005357143,0.057142857,0.7125,0.005357143,0.2375,0.0125,0.042857143,192.7107143,0.080357143,0.756139855,0.358928571,0.201785714,0.564285714,KUPWARA
2019,JAMMU AND KASHMIR ,1,POONCH ,10,274,588723,308982,279741,122754,0.372262774,0.018248175,0.350364964,0.160583942,0.171532847,0.00729927,0.01459854,0.069343066,0.062043796,0.116788321,0.481751825,0.032846715,0.149635036,0.018248175,0.02189781,191.149635,0.102189781,0.506940711,0.416058394,0.324817518,0.379562044,POONCH
2019,JAMMU AND KASHMIR ,1,PULWAMA ,11,350,541945,281006,260939,88566,0.911428571,0.054285714,0.242857143,0.38,0.308571429,0.045714286,0.008571429,0.145714286,0.008571429,0.242857143,0.891428571,0.014285714,0.351428571,0.017142857,0.074285714,204.3771429,0.011428571,0.939739855,0.194285714,0.422857143,0.385714286,PULWAMA
2019,JAMMU AND KASHMIR ,1,RAJAURI ,12,487,884300,467396,416904,182628,0.59137577,0.022587269,0.498973306,0.032854209,0.242299795,0.002053388,0.01026694,0.065708419,0.170431211,0.028747433,0.689938398,0.012320329,0.098562628,0.012320329,0.01026694,219.7843943,0.01026694,0.62587336,0.503080082,0.334702259,0.248459959,RAJOURI
2019,JAMMU AND KASHMIR ,1,SRINAGAR ,13,25,63548,33089,30459,10570,0.72,0,0.12,0.52,0.2,0.2,0,0,0.32,0.44,0.64,0,0.2,0,0.2,292.08,0,0.961873226,0.04,0.2,0.6,SRINAGAR
2019,JAMMU AND KASHMIR ,1,UDHAMPUR ,14,404,570762,298477,272285,106059,0.606435644,0.03960396,0.712871287,0.032178218,0.091584158,0.01980198,0.02970297,0.084158416,0.371287129,0.136138614,0.455445545,0.007425743,0.20049505,0.004950495,0.054455446,132.769802,0.01980198,0.66671381,0.47029703,0.178217822,0.524752475,UDHAMPUR
2019,JAMMU AND KASHMIR ,1,KISHTWAR ,620,200,277968,146744,131224,66672,0.34,0.02,0.26,0.235,0.03,0.005,0.01,0.105,0.36,0.15,0.625,0.02,0.09,0.01,0.05,133.515,0.22,0.630609551,0.37,0.06,0.59,KISHTWAR
2019,JAMMU AND KASHMIR ,1,RAMBAN ,621,179,352482,188868,163614,69789,0.329608939,0.011173184,0.17877095,0.273743017,0.139664804,0.016759777,0.044692737,0.134078212,0.078212291,0.089385475,0.502793296,0.016759777,0.134078212,0.016759777,0.016759777,171.3575419,0.134078212,0.575577813,0.379888268,0.12849162,0.290502793,RAMBAN
2019,JAMMU AND KASHMIR ,1,KULGAM ,622,311,456491,243081,213410,78959,0.790996785,0.025723473,0.347266881,0.254019293,0.276527331,0.006430868,0.035369775,0.061093248,0.012861736,0.135048232,0.832797428,0.006430868,0.234726688,0.006430868,0.096463023,175.4340836,0.061093248,0.896756545,0.263665595,0.151125402,0.636655949,KULGAM
