Year,State_name,State_code,District_name,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,chc,phc,subcentre,subcentre_l1km,veterinary,veterinary_l1km,closed_drain,pucca_slab_drain,MAP_KEY,prim_school,middle_school,high_school,high_second_school,degree_clg,public_library,indoor_sports,outdoor_sports,vocational,all_weather_road,cc_road_full,pub_trans_bus,pub_trans_van,pub_trans_auto,railway,csc_panchayat,csc_seperate,elec_domes_12hrs,elec_msme,pds,mandi,reg_mkt,weekly_haat,tap_100,clean_energy_hhs,solar_wind_elect,pucca_hhs,panch_bhawan,pib_av_upd,pcomm_pasture,bank,bank_dist_l1km,bc_w_internet,atm,internet_bb,tel_ll,tel_mob,po_sub_po
2019,JAMMU AND KASHMIR,1,SRINAGAR,13,25,63548,33089,30459,10570,0.28,0.2,0.08,0.08,0.4,0.12,0.0,0.12,SRINAGAR,0.6,0.64,0.32,0.2,0.0,0.04,0.04,0.28,0.0,0.72,0.0,0.12,0.52,0.2,0.2,0.0,0.0,0.32,0.44,0.64,0.0,0.2,0.0,0.2,292.08,0.0,0.961873226,0.04,0.2,0.6,0.36,0.04,0.2,0.32,0.2,0.04,0.48,0.16
2019,JAMMU AND KASHMIR,1,UDHAMPUR,14,404,570762,298477,272285,106059,0.012376238,0.168316832,0.267326733,0.007425743,0.20049505,0.014851485,0.014851485,0.00990099,UDHAMPUR,0.747524752,0.717821782,0.368811881,0.113861386,0.01980198,0.002475248,0.022277228,0.04950495,0.002475248,0.606435644,0.03960396,0.712871287,0.032178218,0.091584158,0.01980198,0.02970297,0.084158416,0.371287129,0.136138614,0.455445545,0.007425743,0.20049505,0.004950495,0.054455446,132.769802,0.01980198,0.66671381,0.47029703,0.178217822,0.524752475,0.113861386,0.022277228,0.066831683,0.076732673,0.254950495,0.002475248,0.688118812,0.264851485
2019,JAMMU AND KASHMIR,1,KISHTWAR,620,200,277968,146744,131224,66672,0.02,0.11,0.39,0.005,0.18,0.01,0.005,0.01,KISHTWAR,0.835,0.765,0.385,0.125,0.04,0.025,0.005,0.175,0.025,0.34,0.02,0.26,0.235,0.03,0.005,0.01,0.105,0.36,0.15,0.625,0.02,0.09,0.01,0.05,133.515,0.22,0.630609551,0.37,0.06,0.59,0.145,0.03,0.1,0.07,0.22,0.0,0.52,0.15
2019,JAMMU AND KASHMIR,1,RAMBAN,621,179,352482,188868,163614,69789,0.005586592,0.206703911,0.25698324,0.016759777,0.078212291,0.016759777,0.027932961,0.005586592,RAMBAN,0.916201117,0.776536313,0.402234637,0.106145251,0.033519553,0.005586592,0.005586592,0.106145251,0.027932961,0.329608939,0.011173184,0.17877095,0.273743017,0.139664804,0.016759777,0.044692737,0.134078212,0.078212291,0.089385475,0.502793296,0.016759777,0.134078212,0.016759777,0.016759777,171.3575419,0.134078212,0.575577813,0.379888268,0.12849162,0.290502793,0.089385475,0.005586592,0.016759777,0.072625698,0.206703911,0.0,0.770949721,0.212290503
2019,JAMMU AND KASHMIR,1,KULGAM,622,311,456491,243081,213410,78959,0.048231511,0.144694534,0.215434084,0.061093248,0.209003215,0.041800643,0.0,0.122186495,KULGAM,0.70096463,0.774919614,0.295819936,0.128617363,0.019292605,0.003215434,0.012861736,0.122186495,0.019292605,0.790996785,0.025723473,0.347266881,0.254019293,0.276527331,0.006430868,0.035369775,0.061093248,0.012861736,0.135048232,0.832797428,0.006430868,0.234726688,0.006430868,0.096463023,175.4340836,0.061093248,0.896756545,0.263665595,0.151125402,0.636655949,0.115755627,0.032154341,0.061093248,0.106109325,0.241157556,0.003215434,0.897106109,0.112540193
2019,JAMMU AND KASHMIR,1,BANDIPORA,623,212,577349,304352,272997,86069,0.033018868,0.099056604,0.476415094,0.0,0.504716981,0.0,0.0,0.0,BANDIPORA,0.990566038,0.933962264,0.514150943,0.08490566,0.009433962,0.009433962,0.004716981,0.896226415,0.009433962,0.551886792,0.014150943,0.386792453,0.226415094,0.183962264,0.023584906,0.0,0.113207547,0.0,0.070754717,0.04245283,0.0,0.070754717,0.905660377,0.0,73.88207547,0.028301887,0.961844567,0.066037736,0.221698113,0.037735849,0.20754717,0.0,0.150943396,0.188679245,0.04245283,0.0,0.099056604,0.047169811
2019,JAMMU AND KASHMIR,1,SAMBA,624,379,307309,160093,147216,61809,0.013192612,0.081794195,0.237467018,0.029023747,0.121372032,0.031662269,0.01055409,0.034300792,SAMBA,0.416886544,0.34828496,0.129287599,0.068601583,0.013192612,0.01055409,0.0,0.081794195,0.01055409,0.696569921,0.084432718,0.205804749,0.026385224,0.46701847,0.015831135,0.013192612,0.09762533,0.316622691,0.113456464,0.319261214,0.007915567,0.197889182,0.0,0.131926121,118.8153034,0.0,0.95173842,0.240105541,0.094986807,0.189973615,0.102902375,0.01055409,0.060686016,0.060686016,0.166226913,0.007915567,0.538258575,0.09762533
2019,JAMMU AND KASHMIR,1,SHOPIAN,625,227,274289,141173,133116,48530,0.044052863,0.079295154,0.110132159,0.052863436,0.211453744,0.026431718,0.008810573,0.0,SHOPIAN,0.810572687,0.524229075,0.189427313,0.070484581,0.013215859,0.004405286,0.030837004,0.268722467,0.004405286,0.845814978,0.013215859,0.044052863,0.585903084,0.04845815,0.004405286,0.013215859,0.123348018,0.004405286,0.035242291,0.81938326,0.013215859,0.158590308,0.008810573,0.017621145,156.9647577,0.105726872,0.862476818,0.255506608,0.308370044,0.599118943,0.088105727,0.035242291,0.066079295,0.070484581,0.392070485,0.013215859,0.797356828,0.083700441
2019,JAMMU AND KASHMIR,1,GANDERBAL,626,173,350136,184244,165892,54401,0.057803468,0.265895954,0.196531792,0.040462428,0.439306358,0.046242775,0.0,0.080924855,GANDERBAL,0.832369942,0.739884393,0.306358382,0.086705202,0.005780347,0.01734104,0.005780347,0.421965318,0.104046243,0.924855491,0.046242775,0.722543353,0.208092486,0.011560694,0.011560694,0.057803468,0.104046243,0.144508671,0.196531792,0.901734104,0.011560694,0.676300578,0.005780347,0.416184971,233.2947977,0.057803468,0.887355012,0.208092486,0.468208092,0.566473988,0.179190751,0.057803468,0.156069364,0.167630058,0.404624277,0.01734104,0.699421965,0.080924855
2019,JAMMU AND KASHMIR,1,REASI,627,292,504001,272475,231526,91711,0.01369863,0.106164384,0.304794521,0.01369863,0.089041096,0.0,0.010273973,0.006849315,REASI,0.76369863,0.712328767,0.297945205,0.106164384,0.023972603,0.017123288,0.003424658,0.095890411,0.01369863,0.393835616,0.017123288,0.280821918,0.089041096,0.184931507,0.010273973,0.023972603,0.085616438,0.154109589,0.109589041,0.51369863,0.010273973,0.147260274,0.01369863,0.04109589,128.4315068,0.01369863,0.572275954,0.45890411,0.054794521,0.325342466,0.065068493,0.003424658,0.075342466,0.054794521,0.476027397,0.0,0.619863014,0.215753425
